date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:33	177/177	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20May%202016%2012:01:35%20GMT	http://coderthemes.com/robots.txt		(from )
19:01:35	48319/48319	---MC-	200	added ('OK')	text/html	etag:%2257163cae-b785%22	http://coderthemes.com/adminto_1.2/menu_2/	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/index.html	(from )
19:01:35	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%2257163cad-1536%22	http://coderthemes.com/adminto_1.2/menu_2/assets/images/favicon.ico	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/images/favicon.ico	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:35	433/433	---M--	200	added ('OK')	text/css	etag:%2257163cad-1b1%22	http://coderthemes.com/adminto_1.2/menu_2/assets/plugins/morris/morris.css	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/plugins/morris/morris.css	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:37	121260/121260	---M--	200	added ('OK')	text/css	etag:%2257163cad-1d9ac%22	http://coderthemes.com/adminto_1.2/menu_2/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/css/bootstrap.min.css	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:38	22639/22639	---M--	200	added ('OK')	text/css	etag:%2257163cad-586f%22	http://coderthemes.com/adminto_1.2/menu_2/assets/css/core.css	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/css/core.css	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:39	30691/30691	---M--	200	added ('OK')	text/css	etag:%2257163cad-77e3%22	http://coderthemes.com/adminto_1.2/menu_2/assets/css/components.css	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/css/components.css	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:40	135307/135307	---M--	200	added ('OK')	text/css	etag:%2257163cad-2108b%22	http://coderthemes.com/adminto_1.2/menu_2/assets/css/icons.css	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/css/icons.css	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:42	51442/51442	---M--	200	added ('OK')	text/css	etag:%2257163cad-c8f2%22	http://coderthemes.com/adminto_1.2/menu_2/assets/css/pages.css	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/css/pages.css	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:44	14264/14264	---M--	200	added ('OK')	text/css	etag:%2257163cad-37b8%22	http://coderthemes.com/adminto_1.2/menu_2/assets/css/menu.css	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/css/menu.css	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:44	2962/2962	---M--	200	added ('OK')	text/css	etag:%2257163cad-b92%22	http://coderthemes.com/adminto_1.2/menu_2/assets/css/responsive.css	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/css/responsive.css	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:45	11084/11084	---M--	200	added ('OK')	application/x-javascript	etag:%2257163cad-2b4c%22	http://coderthemes.com/adminto_1.2/menu_2/assets/js/modernizr.min.js	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/js/modernizr.min.js	(from http://coderthemes.com/adminto_1.2/menu_2/)
19:01:48	3070/3070	---M--	200	added ('OK')	image/jpeg	etag:%2257163cad-bfe%22	http://coderthemes.com/adminto_1.2/menu_2/assets/images/users/avatar-1.jpg	C:/My%20Web%20Sites/template%20kaya%20vedpanel/coderthemes.com/adminto_1.2/menu_2/assets/images/users/avatar-1.jpg	(from http://coderthemes.com/adminto_1.2/menu_2/)
